from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
A0861,A0601,,,,,2,579
A2329,A2045,,,,,2,588
A2045,A2329,,,,,2,588
TB0861,A0861,,,,,2,20
A1749,TB0605,,,,,2,222
TB0605,A1749,,,,,2,222
A6175,TM0376,,,,,2,59
TM0376,A6175,,,,,2,59
A6308,A2045,,,,,2,484
A2045,A6308,,,,,2,484
A0859,A1208,,,,,2,293
A1208,A0859,,,,,2,293
A1800,A0861,,,,,2,338
A0861,A1800,,,,,2,338
TB1605,A2045,,,,,2,671
A2045,A6350,,,,,2,464
M210,A1325,,,,,2,82
A1325,M210,,,,,2,82
TM1880,A2045,,,,,2,510
A2045,TM1880,,,,,2,510
A6118,A2045,,,,,2,394
A2045,A6118,,,,,2,394
TB1819,TM1824,,,,,2,321
TM1571,A2045,,,,,2,292
A2045,TM1571,,,,,2,292
TB1801,A0861,,,,,2,279
A0861,TB1801,,,,,2,279
A6188,TB0599,,,,,2,254
A0598,A0861,,,,,2,579
A0861,A0598,,,,,2,579
A0860,A0861,,,,,2,107
A0861,A0860,,,,,2,107
TB0601,A0861,,,,,2,579
A0861,TB0601,,,,,2,579
A1716,TB1719,,,,,2,44
TM0574,A2045,,,,,2,295
A2045,TM0574,,,,,2,295
